Column1;Word;Count
7902;nyabuka;2
8000;lewar;2
8019;difix;2
3640;bukalak;2
3758;bail;2
7854;kna;2
7949;lha;2
730;bazeng;2
3805;bltolong;2
7948;srbu;2
8020;ma;2
3794;berpa;2
7856;ampek;2
11918;kayak;2
15980;apk;2
15981;saya;2
15982;makan;2
15983;minum;2
15984;aku;2
15985;urang;2
15986;abdi;2
15987;ane;2
15988;kalo;2
15989;kalau;2
15990;taik;2
15991;babi;2
15992;anzink;2
15993;aplikasi;2
15993;bukalapak;2
